layer,seed,level,group_size,experts_json,target_delta_nll,control_delta_nll,causal_specificity
8,17,0,32,"[145, 83, 255, 126, 58, 109, 27, 19, 40, 139, 11, 158, 171, 210, 198, 108, 84, 57, 185, 114, 203, 181, 253, 148, 16, 50, 131, 77, 81, 117, 143, 110]",0.013678042218089104,0.0047104693949222565,0.010145190171897411
8,17,0,32,"[236, 206, 252, 149, 170, 56, 111, 63, 20, 91, 214, 200, 194, 12, 67, 197, 118, 155, 28, 30, 211, 34, 230, 154, 93, 188, 10, 48, 136, 29, 15, 102]",0.008617492392659187,-0.023389939218759537,0.008617492392659187
8,17,0,32,"[70, 99, 120, 209, 180, 90, 94, 199, 151, 86, 212, 129, 7, 247, 101, 217, 14, 88, 147, 244, 165, 92, 240, 173, 204, 229, 159, 35, 231, 177, 23, 47]",-0.005253655835986137,-0.00784593541175127,-0.005253655835986137
8,17,0,32,"[13, 254, 130, 245, 220, 21, 78, 162, 116, 42, 66, 38, 152, 224, 243, 46, 107, 249, 125, 31, 235, 62, 79, 238, 174, 201, 164, 246, 191, 248, 208, 112]",0.0014503272250294685,0.01747453585267067,-0.011655574664473534
8,17,0,32,"[241, 123, 32, 179, 89, 178, 193, 156, 60, 71, 219, 222, 25, 59, 228, 54, 144, 26, 133, 69, 45, 233, 141, 146, 160, 43, 226, 218, 51, 122, 96, 135]",0.002875007688999176,0.0034640757367014885,0.00027695088647305965
8,17,0,32,"[189, 95, 87, 68, 168, 205, 132, 221, 33, 44, 251, 100, 22, 53, 176, 163, 124, 239, 234, 150, 76, 195, 5, 186, 64, 73, 142, 182, 103, 166, 17, 215]",-0.0018634628504514694,-0.004098221659660339,-0.0018634628504514694
8,17,0,32,"[232, 121, 106, 225, 9, 227, 6, 61, 2, 104, 0, 80, 140, 52, 113, 18, 65, 216, 169, 119, 36, 187, 161, 134, 153, 3, 213, 137, 184, 4, 24, 128]",0.11357584595680237,-0.00847554113715887,0.11357584595680237
8,17,0,32,"[8, 37, 172, 250, 183, 202, 196, 157, 105, 127, 242, 138, 223, 167, 207, 49, 97, 41, 72, 39, 55, 1, 192, 237, 175, 98, 190, 74, 82, 75, 85, 115]",0.011220196262001991,-0.009482912719249725,0.011220196262001991
8,17,1,16,"[232, 121, 106, 225, 9, 227, 6, 61, 2, 104, 0, 80, 140, 52, 113, 18]",0.00131149310618639,0.0028841281309723854,-0.0008516029920428991
8,17,1,16,"[65, 216, 169, 119, 36, 187, 161, 134, 153, 3, 213, 137, 184, 4, 24, 128]",0.11918817460536957,-0.002594292163848877,0.11918817460536957
8,17,1,16,"[8, 37, 172, 250, 183, 202, 196, 157, 105, 127, 242, 138, 223, 167, 207, 49]",0.0009460635483264923,0.011219517327845097,-0.00746857444755733
8,17,1,16,"[97, 41, 72, 39, 55, 1, 192, 237, 175, 98, 190, 74, 82, 75, 85, 115]",0.0017536571249365807,0.00288570299744606,-0.0004106201231479645
8,17,1,16,"[145, 83, 255, 126, 58, 109, 27, 19, 40, 139, 11, 158, 171, 210, 198, 108]",0.00882888212800026,-0.005109728313982487,0.00882888212800026
8,17,1,16,"[84, 57, 185, 114, 203, 181, 253, 148, 16, 50, 131, 77, 81, 117, 143, 110]",0.0008821627125144005,-0.005568942986428738,0.0008821627125144005
8,17,1,16,"[236, 206, 252, 149, 170, 56, 111, 63, 20, 91, 214, 200, 194, 12, 67, 197]",0.0048269424587488174,-0.006966501474380493,0.0048269424587488174
8,17,1,16,"[118, 155, 28, 30, 211, 34, 230, 154, 93, 188, 10, 48, 136, 29, 15, 102]",0.01032374706119299,-0.004981015808880329,0.01032374706119299
8,17,2,8,"[65, 216, 169, 119, 36, 187, 161, 134]",-0.0010295035317540169,0.010969231836497784,-0.009256427409127355
8,17,2,8,"[153, 3, 213, 137, 184, 4, 24, 128]",0.10967686772346497,-0.006062649190425873,0.10967686772346497
8,17,2,8,"[118, 155, 28, 30, 211, 34, 230, 154]",0.007719710469245911,0.00435059517621994,0.0044567640870809555
8,17,2,8,"[93, 188, 10, 48, 136, 29, 15, 102]",0.00578418280929327,0.0004733903333544731,0.005429140059277415
8,17,2,8,"[145, 83, 255, 126, 58, 109, 27, 19]",0.008567946963012218,0.00682121142745018,0.0034520383924245834
8,17,2,8,"[40, 139, 11, 158, 171, 210, 198, 108]",0.002600455656647682,-0.006927769631147385,0.002600455656647682
8,17,2,8,"[236, 206, 252, 149, 170, 56, 111, 63]",0.0003206813707947731,0.00975792109966278,-0.0069977594539523125
8,17,2,8,"[20, 91, 214, 200, 194, 12, 67, 197]",0.004271250218153,-0.012073079124093056,0.004271250218153
8,17,3,4,"[153, 3, 213, 137]",0.006322952918708324,-0.00030042044818401337,0.006322952918708324
8,17,3,4,"[184, 4, 24, 128]",0.11082933843135834,0.007256696932017803,0.10538681573234499
8,17,3,4,"[93, 188, 10, 48]",-0.0009946227073669434,0.005910838954150677,-0.005427751922979951
8,17,3,4,"[136, 29, 15, 102]",0.0036529256030917168,-0.0044282786548137665,0.0036529256030917168
8,17,3,4,"[118, 155, 28, 30]",0.005425677634775639,0.007874851115047932,-0.0004804607015103102
8,17,3,4,"[211, 34, 230, 154]",0.0013671722263097763,-0.0011795926839113235,0.0013671722263097763
8,17,3,4,"[20, 91, 214, 200]",0.009433085098862648,-0.015926245599985123,0.009433085098862648
8,17,3,4,"[194, 12, 67, 197]",0.0069986749440431595,0.013427527621388435,-0.003071970771998167
8,17,4,2,"[184, 4]",0.11595769971609116,0.006199072115123272,0.1113083956297487
8,17,4,2,"[24, 128]",0.007928049191832542,0.0005185604095458984,0.007539128884673119
8,17,4,2,"[20, 91]",-0.0007946360856294632,-0.0026825563982129097,-0.0007946360856294632
8,17,4,2,"[214, 200]",0.0040319012477993965,-0.019430264830589294,0.0040319012477993965
8,17,4,2,"[153, 3]",0.001221468672156334,0.0011182473972439766,0.0003827831242233515
8,17,4,2,"[213, 137]",0.003945736214518547,0.01028783991932869,-0.00377014372497797
8,17,4,2,"[136, 29]",0.007550269365310669,-0.008834689855575562,0.007550269365310669
8,17,4,2,"[15, 102]",0.008455450646579266,-0.008444109000265598,0.008455450646579266
8,17,5,1,[184],0.10941199213266373,0.0003240518271923065,0.1091689532622695
8,17,5,1,[4],0.005638661794364452,0.003050164319574833,0.0033510385546833277
8,17,5,1,[15],0.0007258504629135132,-0.013035731390118599,0.0007258504629135132
